,famrel,absences,finalgrade,weeklyAlcohol,no_famsup,famsup,no_paid,paid
695,3,2,15,2.0,0,1,1,0
696,4,2,11,1.0,0,1,1,0
697,5,2,12,1.0,1,0,1,0
698,3,2,13,1.0,1,0,1,0
699,4,0,13,1.0,0,1,1,0
700,4,8,9,2.5,1,0,1,0
701,4,6,16,3.5,0,1,1,0
702,5,0,14,3.5,1,0,1,0
703,4,8,12,2.0,1,0,1,0
704,5,4,14,2.0,0,1,1,0
705,4,12,10,1.5,0,1,1,0
706,4,16,12,3.0,0,1,1,0
707,4,10,16,2.0,0,1,1,0
708,4,2,13,1.0,0,1,1,0
709,3,2,18,2.0,0,1,1,0
710,4,8,15,1.5,0,1,1,0
711,4,6,16,1.0,0,1,1,0
712,4,6,12,2.5,0,1,1,0
713,4,15,10,1.0,1,0,1,0
714,3,6,12,2.5,1,0,1,0
715,2,2,13,1.0,0,1,1,0
716,4,8,15,1.0,0,1,1,0
717,3,0,10,3.5,0,1,1,0
718,4,0,10,1.5,1,0,1,0
719,3,10,11,3.0,1,0,1,0
720,4,22,10,3.0,1,0,1,0
721,4,18,13,3.5,1,0,1,0
722,5,2,18,1.0,0,1,1,0
723,5,0,13,1.0,1,0,1,0
724,5,12,14,1.5,0,1,1,0
725,4,10,14,1.0,1,0,1,0
726,4,0,12,1.5,1,0,1,0
727,4,0,18,1.5,0,1,1,0
728,4,0,14,1.0,0,1,1,0
729,4,0,15,2.0,1,0,1,0
730,5,0,17,1.0,0,1,1,0
731,4,2,16,2.5,0,1,1,0
732,4,0,18,1.5,0,1,1,0
733,3,0,19,1.0,0,1,1,0
734,5,0,15,1.0,0,1,1,0
735,4,0,15,2.0,0,1,1,0
736,2,2,13,2.5,0,1,1,0
737,4,0,14,1.5,0,1,1,0
738,4,0,17,1.0,0,1,1,0
739,1,0,17,2.0,0,1,1,0
740,4,0,15,1.0,0,1,0,1
741,4,0,13,2.0,1,0,1,0
742,5,0,8,1.0,0,1,1,0
743,4,0,16,1.0,0,1,1,0
744,5,0,18,1.5,0,1,1,0
745,4,0,11,1.0,1,0,1,0
746,5,0,15,1.0,1,0,1,0
747,4,0,11,1.5,1,0,1,0
748,3,2,11,1.5,0,1,1,0
749,5,2,15,1.5,0,1,1,0
750,4,2,14,1.0,1,0,1,0
751,4,2,17,1.0,1,0,1,0
752,4,2,17,1.0,0,1,1,0
753,3,8,15,2.5,0,1,1,0
754,4,2,17,3.5,0,1,1,0
755,4,8,14,1.0,0,1,1,0
756,5,9,10,1.0,0,1,1,0
757,4,0,13,3.0,0,1,1,0
758,5,4,14,1.0,0,1,1,0
759,5,2,17,1.5,1,0,1,0
760,5,14,17,1.5,0,1,1,0
761,5,0,13,1.0,0,1,1,0
762,4,2,14,2.0,1,0,1,0
763,4,2,11,3.5,0,1,1,0
764,1,12,11,3.5,1,0,1,0
765,5,2,9,1.0,0,1,1,0
766,4,2,10,3.0,0,1,1,0
767,4,4,13,1.0,0,1,1,0
768,3,0,10,2.0,0,1,1,0
769,3,0,17,2.5,0,1,1,0
770,3,0,15,2.5,1,0,1,0
771,4,0,14,1.5,1,0,1,0
772,4,0,13,2.0,1,0,1,0
773,4,0,17,4.0,1,0,1,0
774,4,2,10,5.0,0,1,1,0
775,5,0,13,2.0,0,1,1,0
776,4,4,15,1.5,0,1,1,0
777,4,2,11,3.5,0,1,0,1
778,4,0,12,3.0,0,1,0,1
779,5,0,10,2.0,0,1,1,0
780,4,2,10,1.0,1,0,1,0
781,4,0,15,1.0,0,1,1,0
782,5,6,15,1.5,1,0,1,0
783,5,8,12,1.0,1,0,1,0
784,4,0,12,1.0,1,0,1,0
785,4,6,14,1.0,1,0,1,0
786,4,8,14,2.0,1,0,1,0
787,4,0,15,2.5,0,1,1,0
788,5,4,15,1.0,0,1,1,0
789,4,0,16,2.5,0,1,1,0
790,4,0,13,2.0,0,1,1,0
791,4,6,17,2.0,1,0,1,0
792,3,18,14,1.5,0,1,1,0
793,4,0,14,1.5,0,1,1,0
794,5,4,17,2.5,1,0,1,0
795,5,4,17,1.5,1,0,1,0
796,5,0,14,2.5,0,1,1,0
797,4,0,13,2.0,0,1,1,0
798,4,10,15,2.0,0,1,1,0
799,4,4,16,3.0,0,1,1,0
800,2,16,11,3.5,1,0,1,0
801,4,6,13,1.0,0,1,0,1
802,3,0,12,1.0,1,0,0,1
803,4,11,12,2.0,0,1,1,0
804,4,9,15,2.5,1,0,1,0
805,4,0,17,2.0,0,1,1,0
806,4,2,15,1.5,0,1,1,0
807,4,0,17,1.0,0,1,1,0
808,5,21,10,3.5,0,1,1,0
809,3,8,15,2.0,1,0,1,0
810,3,5,11,4.0,0,1,1,0
811,4,10,18,1.5,0,1,1,0
812,4,5,17,1.5,0,1,1,0
813,3,13,14,4.5,1,0,1,0
814,5,10,11,2.5,1,0,1,0
815,4,10,17,2.0,0,1,1,0
816,5,5,10,1.0,1,0,1,0
817,3,4,13,1.5,0,1,1,0
818,4,11,11,2.0,0,1,1,0
819,4,0,12,1.0,0,1,1,0
820,4,6,10,1.0,0,1,1,0
821,5,4,11,2.5,0,1,1,0
822,4,0,17,1.5,1,0,1,0
823,1,0,9,1.0,1,0,1,0
824,5,5,11,2.0,0,1,1,0
825,4,0,11,1.0,1,0,1,0
826,4,0,10,1.5,1,0,1,0
827,5,0,7,2.0,0,1,1,0
828,1,0,14,4.0,1,0,1,0
829,1,4,11,1.0,1,0,1,0
830,5,0,10,1.5,0,1,1,0
831,4,4,8,1.5,0,1,1,0
832,3,0,12,1.5,0,1,1,0
833,5,2,12,2.0,0,1,1,0
834,4,0,16,1.0,1,0,1,0
835,5,0,0,4.5,0,1,1,0
836,4,4,9,3.0,1,0,0,1
837,5,0,14,1.5,0,1,1,0
838,5,7,8,1.5,0,1,1,0
839,3,4,11,1.5,1,0,1,0
840,5,8,9,3.0,0,1,1,0
841,5,0,11,1.0,0,1,1,0
842,5,8,9,5.0,1,0,1,0
843,4,6,17,1.0,1,0,1,0
844,5,3,13,1.0,1,0,1,0
845,4,2,15,1.5,0,1,1,0
846,4,0,11,1.0,1,0,1,0
847,4,4,11,1.0,0,1,1,0
848,1,0,8,1.5,0,1,1,0
849,1,3,8,1.5,0,1,1,0
850,4,0,9,3.0,0,1,1,0
851,5,0,15,1.5,0,1,1,0
852,5,4,11,5.0,0,1,1,0
853,4,0,13,1.0,0,1,1,0
854,4,2,10,1.0,0,1,1,0
855,4,1,11,1.0,0,1,1,0
856,4,0,14,3.5,1,0,1,0
857,4,0,14,1.5,0,1,1,0
858,4,2,12,2.0,0,1,1,0
859,3,6,11,3.5,1,0,1,0
860,3,9,8,2.5,0,1,1,0
861,3,0,11,2.0,0,1,1,0
862,5,1,14,1.0,0,1,1,0
863,4,1,13,1.5,1,0,1,0
864,4,0,13,1.0,0,1,1,0
865,4,4,12,1.0,0,1,1,0
866,4,2,12,2.5,0,1,1,0
867,4,0,16,1.0,0,1,1,0
868,2,4,10,2.5,0,1,1,0
869,4,2,11,4.0,0,1,1,0
870,5,0,14,1.0,0,1,1,0
871,5,2,8,1.0,0,1,1,0
872,4,11,11,3.0,0,1,1,0
873,3,0,8,1.0,0,1,1,0
874,4,4,10,1.0,0,1,1,0
875,4,0,10,1.0,1,0,1,0
876,5,2,11,1.0,0,1,1,0
877,5,0,9,2.0,0,1,1,0
878,3,1,11,1.5,0,1,1,0
879,4,6,8,1.5,0,1,1,0
880,4,0,11,1.5,0,1,1,0
881,4,1,10,2.5,0,1,0,1
882,3,6,10,1.0,0,1,1,0
883,5,6,9,1.0,1,0,1,0
884,4,0,10,3.5,1,0,1,0
885,3,4,10,1.0,1,0,1,0
886,1,12,9,2.5,0,1,1,0
887,3,2,10,1.0,1,0,1,0
888,2,5,10,4.0,1,0,1,0
889,4,0,9,2.0,1,0,1,0
890,4,0,13,1.0,1,0,1,0
891,4,2,14,2.0,0,1,1,0
892,5,0,10,3.5,0,1,0,1
893,5,0,14,1.0,0,1,1,0
894,4,0,16,1.5,0,1,0,1
895,5,12,7,5.0,0,1,1,0
896,4,8,13,3.0,1,0,1,0
897,1,2,9,4.0,0,1,1,0
898,2,0,14,1.0,0,1,1,0
899,5,0,13,1.0,1,0,1,0
900,4,0,11,1.5,0,1,1,0
901,3,8,10,3.0,1,0,1,0
902,4,0,10,1.0,0,1,1,0
903,4,0,9,1.5,0,1,1,0
904,5,0,18,1.0,0,1,1,0
905,5,0,17,1.0,0,1,1,0
906,4,1,10,1.0,1,0,1,0
907,4,9,7,1.0,0,1,1,0
908,3,0,8,2.0,1,0,1,0
909,3,2,7,2.5,1,0,1,0
910,2,8,10,2.5,1,0,1,0
911,4,0,16,2.5,1,0,1,0
912,5,0,15,2.5,1,0,1,0
913,2,8,8,2.0,0,1,1,0
914,5,0,0,1.0,1,0,1,0
915,4,6,8,2.0,0,1,1,0
916,3,0,10,1.0,0,1,1,0
917,4,4,8,1.5,0,1,1,0
918,5,2,6,5.0,0,1,1,0
919,4,2,8,1.0,0,1,1,0
920,4,0,16,1.5,0,1,1,0
921,4,1,14,1.5,1,0,1,0
922,5,0,10,2.0,1,0,1,0
923,5,5,9,1.5,0,1,0,1
924,5,1,11,1.5,0,1,1,0
925,4,8,9,5.0,0,1,1,0
926,5,0,10,3.0,1,0,1,0
927,4,2,8,2.5,1,0,1,0
928,3,0,16,1.0,1,0,1,0
929,4,0,12,3.5,0,1,1,0
930,5,11,10,2.0,0,1,1,0
931,5,8,14,2.5,0,1,1,0
932,4,11,12,1.5,1,0,1,0
933,4,2,11,2.0,0,1,1,0
934,1,8,10,2.0,0,1,1,0
935,4,5,11,2.0,1,0,1,0
936,5,0,11,1.0,1,0,0,1
937,5,1,12,2.5,0,1,1,0
938,3,2,8,2.0,1,0,1,0
939,5,2,12,3.0,1,0,1,0
940,5,8,8,3.5,0,1,1,0
941,5,0,16,1.0,0,1,1,0
942,4,0,11,1.5,1,0,1,0
943,4,2,11,1.5,1,0,1,0
944,4,0,18,2.5,0,1,1,0
945,4,0,13,2.0,0,1,1,0
946,4,0,13,2.0,0,1,0,1
947,4,2,10,3.5,0,1,1,0
948,4,4,12,1.0,1,0,1,0
949,3,3,10,2.0,0,1,1,0
950,4,5,13,1.0,0,1,1,0
951,4,4,11,3.0,1,0,1,0
952,5,2,10,1.0,0,1,1,0
953,5,0,10,4.0,1,0,1,0
954,4,0,13,1.0,0,1,1,0
955,4,0,10,2.0,0,1,1,0
956,4,6,10,2.5,0,1,1,0
957,5,0,12,1.0,1,0,1,0
958,1,0,0,2.5,1,0,1,0
959,4,2,10,2.5,1,0,1,0
960,4,0,9,3.0,1,0,1,0
961,5,2,9,2.5,0,1,1,0
962,2,0,0,2.0,1,0,1,0
963,3,4,9,1.0,1,0,1,0
964,4,9,8,2.0,0,1,1,0
965,5,6,8,3.0,0,1,1,0
966,4,4,9,2.0,1,0,1,0
967,2,8,7,1.0,0,1,1,0
968,4,9,10,1.5,0,1,1,0
969,4,12,10,3.0,0,1,1,0
970,5,8,10,3.5,0,1,1,0
971,2,8,11,5.0,0,1,1,0
972,5,8,11,3.0,1,0,1,0
973,4,4,10,2.5,0,1,1,0
974,4,0,9,2.5,1,0,1,0
975,4,4,10,3.0,0,1,1,0
976,4,2,8,1.0,0,1,1,0
977,1,0,7,1.0,0,1,1,0
978,5,0,0,1.0,1,0,1,0
979,4,0,11,1.0,0,1,1,0
980,4,5,8,2.0,0,1,0,1
981,5,0,0,2.0,0,1,1,0
982,2,3,8,1.5,0,1,1,0
983,3,0,9,1.0,0,1,1,0
984,5,0,10,1.0,1,0,1,0
985,3,3,7,2.0,1,0,1,0
986,4,2,14,1.0,1,0,1,0
987,4,0,13,1.0,0,1,1,0
988,4,0,14,1.5,1,0,1,0
989,4,0,18,1.5,1,0,1,0
990,5,3,17,1.0,0,1,1,0
991,4,0,18,1.5,0,1,1,0
992,4,0,0,1.0,1,0,1,0
993,4,8,11,5.0,0,1,1,0
994,2,5,14,1.0,0,1,0,1
995,4,4,14,3.5,1,0,1,0
996,1,4,10,1.0,0,1,1,0
997,5,0,13,2.5,1,0,1,0
998,5,0,0,1.0,1,0,1,0
999,4,2,10,1.5,1,0,1,0
1000,5,0,0,2.5,1,0,1,0
1001,4,0,18,2.0,1,0,1,0
1002,5,5,12,1.5,1,0,1,0
1003,5,2,11,1.5,1,0,1,0
1004,4,0,12,1.0,0,1,1,0
1005,3,0,0,2.5,0,1,1,0
1006,4,5,15,1.0,1,0,1,0
1007,4,4,11,2.0,0,1,0,1
1008,5,0,10,1.0,0,1,1,0
1009,4,2,12,1.5,0,1,0,1
1010,1,0,15,1.5,1,0,1,0
1011,3,2,14,1.5,1,0,1,0
1012,5,0,18,1.0,1,0,1,0
1013,4,0,15,2.5,1,0,1,0
1014,4,6,13,2.0,0,1,1,0
1015,2,4,15,1.0,0,1,1,0
1016,3,0,13,1.5,1,0,1,0
1017,3,0,9,3.0,0,1,0,1
1018,4,0,16,2.0,1,0,1,0
1019,5,0,9,1.5,0,1,1,0
1020,5,0,10,1.5,0,1,1,0
1021,3,0,0,3.0,0,1,1,0
1022,4,3,10,2.5,0,1,1,0
1023,3,8,12,1.0,1,0,1,0
1024,3,4,9,2.0,1,0,1,0
1025,5,0,17,1.0,1,0,1,0
1026,4,4,12,1.5,1,0,1,0
1027,4,4,9,1.0,0,1,1,0
1028,5,1,14,3.5,1,0,1,0
1029,4,1,16,1.5,1,0,1,0
1030,4,10,9,2.5,0,1,1,0
1031,3,4,19,2.5,1,0,1,0
1032,4,0,0,2.0,1,0,1,0
1033,4,4,16,1.0,1,0,1,0
1034,4,0,0,2.0,1,0,1,0
1035,5,0,0,3.5,1,0,0,1
1036,5,0,15,2.0,1,0,1,0
1037,5,0,11,1.0,1,0,1,0
1038,4,4,10,2.0,0,1,1,0
1039,5,4,10,1.5,1,0,1,0
1040,4,4,16,1.0,0,1,1,0
1041,1,6,9,1.0,1,0,1,0
1042,2,6,10,3.5,1,0,1,0
1043,4,4,11,3.5,1,0,1,0
